DIA;CONC BCO;CONC MARCH;MTT;%MTT
1;220,038;960;0,013;5,798178777
1;220,038;960;0,014;6,244192529
1;220,038;960;0,018;8,028247538
1;220,038;960;0,015;6,690206281
1;220,038;960;0,011;4,906151273
1;220,038;960;0,014;6,244192529
1;220,038;960;0,014;6,244192529
1;220,038;960;0,018;8,028247538
1;220,038;960;0,015;6,690206281
1;220,038;960;0,021;9,366288794
1;220,038;960;0,026;11,59635755
1;220,038;960;0,024;10,70433005
1;220,038;960;0,028;12,48838506
1;220,038;960;0,022;9,812302546
1;220,038;960;0,021;9,366288794
1;220,038;960;0,023;10,2583163
1;220,038;960;0,018;8,028247538
1;220,038;960;0,016;7,136220033
1;220,038;960;0,02;8,920275042
1;220,038;960;0,017;7,582233786
1;220,038;960;0,022;9,812302546
2;0;0;0,448;105,0102549
2;0;0;0,468;109,6982127
2;0;0;0,459;107,5886317
2;0;0;0,481;112,7453853
2;0;0;0,474;111,1046001
2;0;0;0,458;107,3542338
2;0;0;0,43;100,7910929
2;0;0;0,429;100,556695
2;0;0;0,448;105,0102549
2;0;0;0,436;102,1974802
2;0;0;0,445;104,3070612
2;0;0;0,425;99,61910343
2;0;0;0,421;98,68151187
2;0;0;0,384;90,00878992
2;0;0;0,41;96,10313507
2;0;0;0,346;81,10167008
2;0;0;0,394;92,35276883
2;0;0;0,401;93,99355406
2;0;0;0,407;95,3999414
2;0;0;0,406;95,16554351
2;0;0;0,422;98,91590976
2;0;0;0,413;96,80632874
2;0;0;0,42;98,44711398
2;0;0;0,414;97,04072663
2;11,0019;48;0,451;105,7134486
2;11,0019;48;0,434;101,7286844
2;11,0019;48;0,438;102,666276
2;11,0019;48;0,465;108,995019
2;11,0019;48;0,453;106,1822444
2;11,0019;48;0,419;98,21271609
2;11,0019;48;0,455;106,6510401
2;11,0019;48;0,442;103,6038676
2;11,0019;48;0,444;104,0726633
2;11,0019;48;0,44;103,1350718
2;11,0019;48;0,459;107,5886317
2;11,0019;48;0,428;100,3222971
2;11,0019;48;0,413;96,80632874
2;11,0019;48;0,411;96,33753296
2;11,0019;48;0,451;105,7134486
2;11,0019;48;0,424;99,38470554
2;11,0019;48;0,397;93,0559625
2;11,0019;48;0,436;102,1974802
2;11,0019;48;0,437;102,4318781
2;11,0019;48;0,439;102,9006739
2;11,0019;48;0,44;103,1350718
2;11,0019;48;0,452;105,9478465
2;11,0019;48;0,449;105,2446528
2;11,0019;48;0,41;96,10313507
2;22,0038;96;0,406;95,16554351
2;22,0038;96;0,417;97,7439203
2;22,0038;96;0,428;100,3222971
2;22,0038;96;0,451;105,7134486
2;22,0038;96;0,447;104,775857
2;22,0038;96;0,419;98,21271609
2;22,0038;96;0,416;97,50952241
2;22,0038;96;0,422;98,91590976
2;22,0038;96;0,431;101,0254908
2;22,0038;96;0,412;96,57193085
2;22,0038;96;0,43;100,7910929
2;22,0038;96;0,424;99,38470554
2;22,0038;96;0,425;99,61910343
2;22,0038;96;0,428;100,3222971
2;22,0038;96;0,427;100,0878992
2;22,0038;96;0,375;87,89920891
2;22,0038;96;0,372;87,19601524
2;22,0038;96;0,416;97,50952241
2;22,0038;96;0,41;96,10313507
2;22,0038;96;0,386;90,4775857
2;22,0038;96;0,418;97,9783182
2;22,0038;96;0,443;103,8382655
2;22,0038;96;0,405;94,93114562
2;22,0038;96;0,376;88,1336068
2;27,50475;120;0,389;91,18077937
2;27,50475;120;0,333;78,05449751
2;27,50475;120;0,403;94,46234984
2;27,50475;120;0,435;101,9630823
2;27,50475;120;0,426;99,85350132
2;27,50475;120;0,4;93,75915617
2;27,50475;120;0,383;89,77439203
2;27,50475;120;0,374;87,66481102
2;27,50475;120;0,429;100,556695
2;27,50475;120;0,449;105,2446528
2;27,50475;120;0,438;102,666276
2;27,50475;120;0,403;94,46234984
2;27,50475;120;0,411;96,33753296
2;27,50475;120;0,422;98,91590976
2;27,50475;120;0,439;102,9006739
2;27,50475;120;0,376;88,1336068
2;27,50475;120;0,361;84,61763844
2;27,50475;120;0,408;95,63433929
2;27,50475;120;0,407;95,3999414
2;27,50475;120;0,411;96,33753296
2;27,50475;120;0,415;97,27512452
2;27,50475;120;0,436;102,1974802
2;27,50475;120;0,408;95,63433929
2;27,50475;120;0,389;91,18077937
2;55,0095;240;0,21;49,22355699
2;55,0095;240;0,169;39,61324348
2;55,0095;240;0,203;47,58277176
2;55,0095;240;0,208;48,75476121
2;55,0095;240;0,182;42,66041606
2;55,0095;240;0,18;42,19162028
2;55,0095;240;0,214;50,16114855
2;55,0095;240;0,228;53,44271902
2;55,0095;240;0,231;54,14591269
2;55,0095;240;0,246;57,66188104
2;55,0095;240;0,247;57,89627893
2;55,0095;240;0,231;54,14591269
2;55,0095;240;0,339;79,46088485
2;55,0095;240;0,244;57,19308526
2;55,0095;240;0,23;53,9115148
2;55,0095;240;0,102;23,90858482
2;55,0095;240;0,135;31,64371521
2;55,0095;240;0,183;42,89481395
2;55,0095;240;0,183;42,89481395
2;55,0095;240;0,169;39,61324348
2;55,0095;240;0,199;46,64518019
2;55,0095;240;0,233;54,61470847
2;55,0095;240;0,222;52,03633167
2;55,0095;240;0,184;43,12921184
2;82,51425;360;0,012;2,812774685
2;82,51425;360;0,013;3,047172575
2;82,51425;360;0,01;2,343978904
2;82,51425;360;0,011;2,578376795
2;82,51425;360;0,007;1,640785233
2;82,51425;360;0,009;2,109581014
2;82,51425;360;0,012;2,812774685
2;82,51425;360;0,013;3,047172575
2;82,51425;360;0,014;3,281570466
2;82,51425;360;0,018;4,219162028
2;82,51425;360;0,011;2,578376795
2;82,51425;360;0,007;1,640785233
2;82,51425;360;0,076;17,81423967
2;82,51425;360;0,036;8,438324055
2;82,51425;360;0,021;4,922355699
2;82,51425;360;0,011;2,578376795
2;82,51425;360;0,01;2,343978904
2;82,51425;360;0,012;2,812774685
2;82,51425;360;0,019;4,453559918
2;82,51425;360;0,017;3,984764137
2;82,51425;360;0,017;3,984764137
2;82,51425;360;0,024;5,62554937
2;82,51425;360;0,02;4,687957808
2;82,51425;360;0,013;3,047172575
2;110,019;480;0,007;1,640785233
2;110,019;480;0,003;0,703193671
2;110,019;480;0,004;0,937591562
2;110,019;480;0,004;0,937591562
2;110,019;480;0,005;1,171989452
2;110,019;480;0,003;0,703193671
2;110,019;480;0,004;0,937591562
2;110,019;480;0,003;0,703193671
2;110,019;480;0,004;0,937591562
2;110,019;480;0,003;0,703193671
2;110,019;480;0,002;0,468795781
2;110,019;480;0,002;0,468795781
2;110,019;480;0,011;2,578376795
2;110,019;480;0,007;1,640785233
2;110,019;480;0,005;1,171989452
2;110,019;480;0,007;1,640785233
2;110,019;480;0,007;1,640785233
2;110,019;480;0,007;1,640785233
2;110,019;480;0,01;2,343978904
2;110,019;480;0,008;1,875183123
2;110,019;480;0,007;1,640785233
2;110,019;480;0,008;1,875183123
2;110,019;480;0,008;1,875183123
2;110,019;480;0,007;1,640785233
2;220,038;960;0,004;0,937591562
2;220,038;960;0,005;1,171989452
2;220,038;960;0,006;1,406387343
2;220,038;960;0,005;1,171989452
2;220,038;960;0,004;0,937591562
2;220,038;960;0,006;1,406387343
2;220,038;960;0,008;1,875183123
2;220,038;960;0,005;1,171989452
2;220,038;960;0,005;1,171989452
2;220,038;960;0,004;0,937591562
2;220,038;960;0,004;0,937591562
2;220,038;960;0,004;0,937591562
2;220,038;960;0,008;1,875183123
2;220,038;960;0,007;1,640785233
2;220,038;960;0,01;2,343978904
2;220,038;960;0,006;1,406387343
2;220,038;960;0,007;1,640785233
2;220,038;960;0,008;1,875183123
2;220,038;960;0,012;2,812774685
2;220,038;960;0,008;1,875183123
2;220,038;960;0,011;2,578376795
2;220,038;960;0,01;2,343978904
2;220,038;960;0,009;2,109581014
2;220,038;960;0,007;1,640785233
3;0;0;0,568;98,81841247
3;0;0;0,573;99,68829286
3;0;0;0,59;102,6458862
3;0;0;0,561;97,60057992
3;0;0;0,52;90,46756071
3;0;0;0,566;98,47046031
3;0;0;0,571;99,3403407
3;0;0;0,598;104,0376948
3;0;0;0,587;102,123958
3;0;0;0,607;105,6034795
3;0;0;0,593;103,1678144
3;0;0;0,614;106,8213121
3;0;0;0,606;105,4295034
3;0;0;0,57;99,16636462
3;0;0;0,562;97,774556
3;0;0;0,548;95,3388909
3;0;0;0,575;100,036245
3;0;0;0,568;98,81841247
3;0;0;0,588;102,297934
3;0;0;0,564;98,12250816
3;0;0;0,576;100,2102211
3;0;0;0,558;97,07865169
3;0;0;0,545;94,81696267
3;0;0;0,587;102,123958
3;11,0019;48;0,563;97,94853208
3;11,0019;48;0,54;93,94708228
3;11,0019;48;0,541;94,12105835
3;11,0019;48;0,531;92,38129757
3;11,0019;48;0,549;95,51286698
3;11,0019;48;0,517;89,94563248
3;11,0019;48;0,538;93,59913012
3;11,0019;48;0,54;93,94708228
3;11,0019;48;0,551;95,86081914
3;11,0019;48;0,555;96,55672345
3;11,0019;48;0,571;99,3403407
3;11,0019;48;0,604;105,0815513
3;11,0019;48;0,573;99,68829286
3;11,0019;48;0,551;95,86081914
3;11,0019;48;0,499;86,81406307
3;11,0019;48;0,555;96,55672345
3;11,0019;48;0,49;85,24827836
3;11,0019;48;0,4741;82,48205872
3;11,0019;48;0,488;84,90032621
3;11,0019;48;0,484;84,20442189
3;11,0019;48;0,522;90,81551287
3;11,0019;48;0,511;88,90177601
3;11,0019;48;0,477;82,98658934
3;11,0019;48;0,532;92,55527365
3;22,0038;96;0,558;97,07865169
