DIA;CONC;MTT;%MTT
2;50;0,005;1,95376099
2;50;0,015;5,86128297
2;50;0,008;3,126017584
2;50;0,013;5,079778574
2;50;0,009;3,516769782
2;50;0,009;3,516769782
2;50;0,009;3,516769782
2;50;0,007;2,735265386
2;50;0,004;1,563008792
2;50;0,004;1,563008792
2;50;0,001;0,390752198
2;50;0,002;0,781504396
2;50;0;0
2;100;0,001;0,390752198
2;100;0,002;0,781504396
2;100;0,003;1,172256594
2;100;0,004;1,563008792
2;100;0,002;0,781504396
2;100;0,003;1,172256594
2;100;0,004;1,563008792
2;100;0,004;1,563008792
2;100;0,003;1,172256594
2;100;0,006;2,344513188
2;100;0,006;2,344513188
2;100;0,006;2,344513188
2;100;0,003;1,172256594
2;100;0,002;0,781504396
2;100;0,004;1,563008792
2;100;0,003;1,172256594
2;100;0,002;0,781504396
2;100;0,004;1,563008792
2;100;0,0004;0,156300879
2;100;0,004;1,563008792
2;100;0,005;1,95376099
2;100;0,005;1,95376099
2;100;0,005;1,95376099
2;100;0,005;1,95376099
2;500;0,016;6,252035168
2;500;0,022;8,596548356
2;500;0,014;5,470530772
2;500;0,014;5,470530772
2;500;0,009;3,516769782
2;500;0,007;2,735265386
2;500;0,004;1,563008792
2;500;0,004;1,563008792
2;500;0,003;1,172256594
2;500;0,003;1,172256594
2;500;0,002;0,781504396
2;500;0,003;1,172256594
2;500;0,013;5,079778574
2;500;0,01;3,90752198
2;500;0,009;3,516769782
2;500;0,009;3,516769782
2;500;0,006;2,344513188
2;500;0,006;2,344513188
2;500;0,006;2,344513188
2;500;0,004;1,563008792
2;500;0,004;1,563008792
2;500;0,004;1,563008792
2;500;0,002;0,781504396
2;500;0,003;1,172256594
2;1000;0,006;2,344513188
2;1000;0,009;3,516769782
2;1000;0,011;4,298274178
2;1000;0,008;3,126017584
2;1000;0,006;2,344513188
2;1000;0,006;2,344513188
2;1000;0,006;2,344513188
2;1000;0,005;1,95376099
2;1000;0,005;1,95376099
2;1000;0,005;1,95376099
2;1000;0,003;1,172256594
2;1000;0,006;2,344513188
2;1000;0,004;1,563008792
2;1000;0,003;1,172256594
2;1000;0,007;2,735265386
2;1000;0,007;2,735265386
2;1000;0,006;2,344513188
2;1000;0,004;1,563008792
2;1000;0,008;3,126017584
2;1000;0,005;1,95376099
