DIA;CONC MARCH;CONC CIPER;MTT;%MTT
3;40,5;1,25;0,213;96,92832765
3;40,5;1,25;0,226;102,8441411
3;40,5;1,25;0,204;92,83276451
3;40,5;1,25;0,234;106,4846416
3;40,5;1,25;0,15;68,25938567
3;81;2,5;0,24;109,2150171
3;81;2,5;0,222;101,0238908
3;81;2,5;0,13;59,15813424
3;81;2,5;0,1;45,50625711
3;81;2,5;0,096;43,68600683
3;81;2,5;0,123;55,97269625
3;81;2,5;0,122;55,51763367
3;81;2,5;0,106;48,23663254
3;81;2,5;0,076;34,5847554
3;81;2,5;0,136;61,88850967
3;81;2,5;0,172;78,27076223
3;81;2,5;0,143;65,07394767
3;81;2,5;0,127;57,79294653
3;81;2,5;0,138;62,79863481
3;81;2,5;0,121;55,0625711
3;81;2,5;0,108;49,14675768
3;81;2,5;0,128;58,2480091
3;81;2,5;0,114;51,87713311
3;81;2,5;0,157;71,44482366
3;81;2,5;0,112;50,96700796
3;81;2,5;0,123;55,97269625
3;81;2,5;0,106;48,23663254
3;81;2,5;0,119;54,15244596
3;81;2,5;0,106;48,23663254
3;162;5;0,022;10,01137656
3;162;5;0,08;36,40500569
3;162;5;0,069;31,39931741
3;162;5;0,024;10,92150171
3;162;5;0,03;13,65187713
3;162;5;0,025;11,37656428
3;162;5;0,009;4,09556314
3;162;5;0,003;1,365187713
3;162;5;0,013;5,915813424
3;162;5;0,038;17,2923777
3;162;5;0,119;54,15244596
3;162;5;0,069;31,39931741
3;162;5;0,023;10,46643914
3;162;5;0,03;13,65187713
3;162;5;0,024;10,92150171
3;162;5;0,026;11,83162685
3;162;5;0,024;10,92150171
3;162;5;0,014;6,370875995
3;162;5;0,031;14,1069397
3;162;5;0,011;5,005688282
3;162;5;0,013;5,915813424
3;162;5;0,009;4,09556314
3;162;5;0,019;8,646188851
3;162;5;0,012;5,460750853
3;405;12,5;0;0
3;405;12,5;0,005;2,275312856
3;405;12,5;0,002;0,910125142
3;405;12,5;0,008;3,640500569
3;405;12,5;0,005;2,275312856
3;405;12,5;0,011;5,005688282
3;405;12,5;0,002;0,910125142
3;405;12,5;0,004;1,820250284
3;405;12,5;0,004;1,820250284
3;405;12,5;0;0
3;405;12,5;0,043;19,56769056
3;405;12,5;0,027;12,28668942
3;405;12,5;0;0
3;405;12,5;0,003;1,365187713
3;405;12,5;0,001;0,455062571
3;405;12,5;0,01;4,550625711
3;405;12,5;0,007;3,185437998
3;405;12,5;0,005;2,275312856
3;405;12,5;0,004;1,820250284
3;405;12,5;0,003;1,365187713
3;405;12,5;0,005;2,275312856
3;405;12,5;0,003;1,365187713
3;405;12,5;0,019;8,646188851
3;405;12,5;0,006;2,730375427
3;810;25;0,005;2,275312856
3;810;25;0,006;2,730375427
3;810;25;0,007;3,185437998
3;810;25;0,004;1,820250284
3;810;25;0,004;1,820250284
3;810;25;0,003;1,365187713
3;810;25;0,003;1,365187713
3;810;25;0,002;0,910125142
3;810;25;0,003;1,365187713
3;810;25;0,005;2,275312856
3;810;25;0,003;1,365187713
3;810;25;0,003;1,365187713
3;810;25;0,008;3,640500569
3;810;25;0,007;3,185437998
3;810;25;0,007;3,185437998
3;810;25;0,011;5,005688282
3;810;25;0,005;2,275312856
3;810;25;0,006;2,730375427
3;810;25;0,009;4,09556314
3;810;25;0,008;3,640500569
3;810;25;0,012;5,460750853
3;810;25;0,01;4,550625711
3;810;25;0,008;3,640500569
3;810;25;0,01;4,550625711
4;0;0;0,43;105,7160418
4;0;0;0,368;90,47326368
4;0;0;0,358;88,01475108
4;0;0;0,367;90,22741242
4;0;0;0,395;97,1112477
4;0;0;0,419;103,0116779
4;0;0;0,39;95,8819914
4;0;0;0,401;98,58635526
4;0;0;0,493;121,2046712
4;0;0;0,406;99,81561156
4;0;0;0,444;109,1579594
4;0;0;0,451;110,8789183
4;0;0;0,497;122,1880762
4;0;0;0,477;117,271051
4;0;0;0,461;113,3374309
4;0;0;0,418;102,7658267
4;0;0;0,406;99,81561156
4;0;0;0,427;104,978488
4;0;0;0,363;89,24400738
4;0;0;0,391;96,12784266
4;0;0;0,371;91,21081746
4;0;0;0,375;92,1942225
4;0;0;0,338;83,09772588
4;0;0;0,316;77,68899816
4;8,1;0,25;0,385;94,6527351
4;8,1;0,25;0,442;108,6662569
4;8,1;0,25;0,344;84,57283344
4;8,1;0,25;0,364;89,48985864
4;8,1;0,25;0,415;102,0282729
4;8,1;0,25;0,464;114,0749846
4;8,1;0,25;0,501;123,1714813
4;8,1;0,25;0,579;142,3478795
4;8,1;0,25;0,533;131,0387216
4;8,1;0,25;0,456;112,1081746
4;8,1;0,25;0,46;113,0915796
4;8,1;0,25;0,425;104,4867855
4;8,1;0,25;0,49;120,4671174
4;8,1;0,25;0,52;127,8426552
4;8,1;0,25;0,519;127,5968039
4;8,1;0,25;0,5;122,92563
4;8,1;0,25;0,464;114,0749846
4;8,1;0,25;0,413;101,5365704
4;8,1;0,25;0,422;103,7492317
4;8,1;0,25;0,46;113,0915796
4;8,1;0,25;0,438;107,6828519
4;8,1;0,25;0,406;99,81561156
4;8,1;0,25;0,65;159,803319
4;8,1;0,25;0,404;99,32390904
4;16,2;0,5;0,351;86,29379226
4;16,2;0,5;0,377;92,68592502
4;16,2;0,5;0,368;90,47326368
4;16,2;0,5;0,33;81,1309158
4;16,2;0,5;0,39;95,8819914
4;16,2;0,5;0,423;103,995083
4;16,2;0,5;0,464;114,0749846
4;16,2;0,5;0,464;114,0749846
4;16,2;0,5;0,617;151,6902274
4;16,2;0,5;0,484;118,9920098
4;16,2;0,5;0,438;107,6828519
4;16,2;0,5;0,426;104,7326368
4;16,2;0,5;0,437;107,4370006
4;16,2;0,5;0,475;116,7793485
4;16,2;0,5;0,51;125,3841426
4;16,2;0,5;0,44;108,1745544
4;16,2;0,5;0,436;107,1911494
4;16,2;0,5;0,416;102,2741242
4;16,2;0,5;0,441;108,4204057
4;16,2;0,5;0,419;103,0116779
4;16,2;0,5;0,407;100,0614628
4;16,2;0,5;0,404;99,32390904
4;16,2;0,5;0,429;105,4701905
4;16,2;0,5;0,376;92,44007376
4;40,5;1,25;0,351;86,29379226
4;40,5;1,25;0,408;100,3073141
4;40,5;1,25;0,378;92,93177628
4;40,5;1,25;0,365;89,7357099
4;40,5;1,25;0,433;106,4535956
4;40,5;1,25;0,431;105,9618931
4;40,5;1,25;0,429;105,4701905
4;40,5;1,25;0,577;141,856177
4;40,5;1,25;0,61;149,9692686
4;40,5;1,25;0,47;115,5500922
4;40,5;1,25;0,435;106,9452981
4;40,5;1,25;0,37;90,9649662
4;40,5;1,25;0,478;117,5169023
4;40,5;1,25;0,501;123,1714813
4;40,5;1,25;0,561;137,9225569
4;40,5;1,25;0,506;124,4007376
4;40,5;1,25;0,435;106,9452981
4;40,5;1,25;0,474;116,5334972
4;40,5;1,25;0,431;105,9618931
4;40,5;1,25;0,465;114,3208359
4;40,5;1,25;0,454;111,616472
4;40,5;1,25;0,434;106,6994468
4;40,5;1,25;0,448;110,1413645
4;40,5;1,25;0,374;91,94837124
4;81;2,5;0,277;68,10079902
4;81;2,5;0,29;71,2968654
4;81;2,5;0,256;62,93792256
4;81;2,5;0,315;77,4431469
4;81;2,5;0,381;93,66933006
4;81;2,5;0,588;144,5605409
4;81;2,5;0,51;125,3841426
4;81;2,5;0,474;116,5334972
4;81;2,5;0,475;116,7793485
4;81;2,5;0,391;96,12784266
4;81;2,5;0,353;86,78549478
4;81;2,5;0,309;75,96803934
4;81;2,5;0,403;99,07805778
4;81;2,5;0,401;98,58635526
4;81;2,5;0,436;107,1911494
4;81;2,5;0,333;81,86846958
4;81;2,5;0,332;81,62261832
4;81;2,5;0,405;99,5697603
4;81;2,5;0,322;79,16410572
4;81;2,5;0,345;84,8186847
4;81;2,5;0,368;90,47326368
4;81;2,5;0,356;87,52304856
4;81;2,5;0,322;79,16410572
4;81;2,5;0,286;70,31346036
4;162;5;0,232;57,03749232
4;162;5;0,158;38,84449908
4;162;5;0,159;39,09035034
4;162;5;0,276;67,85494776
4;162;5;0,302;74,24708052
4;162;5;0,286;70,31346036
4;162;5;0,318;78,18070068
4;162;5;0,327;80,39336202
4;162;5;0,319;78,42655194
4;162;5;0,272;66,87154272
4;162;5;0,253;62,20036878
4;162;5;0,2;49,170252
4;162;5;0,292;71,78856792
4;162;5;0,29;71,2968654
4;162;5;0,308;75,72218808
4;162;5;0,232;57,03749232
4;162;5;0,281;69,08420406
4;162;5;0,235;57,7750461
4;162;5;0,214;52,61216964
4;162;5;0,231;56,79164106
4;162;5;0,24;59,0043024
4;162;5;0,252;61,95451752
4;162;5;0,185;45,4824831
4;162;5;0,153;37,61524278
4;405;12,5;0,011;2,70436386
4;405;12,5;0,016;3,93362016
4;405;12,5;0,014;3,44191764
4;405;12,5;0,019;4,67117394
4;405;12,5;0,015;3,6877689
4;405;12,5;0,017;4,17947142
4;405;12,5;0,022;5,40872772
4;405;12,5;0,019;4,67117394
4;405;12,5;0,019;4,67117394
4;405;12,5;0,017;4,17947142
4;405;12,5;0,034;8,35894284
4;405;12,5;0,019;4,67117394
4;405;12,5;0,025;6,1462815
4;405;12,5;0,016;3,93362016
4;405;12,5;0,026;6,39213276
4;405;12,5;0,017;4,17947142
4;405;12,5;0,019;4,67117394
4;405;12,5;0,014;3,44191764
4;405;12,5;0,016;3,93362016
4;405;12,5;0,019;4,67117394
4;405;12,5;0,016;3,93362016
4;405;12,5;0,024;5,90043024
4;405;12,5;0,018;4,42532268
4;405;12,5;0,019;4,67117394
4;810;25;0,007;1,72095882
4;810;25;0,007;1,72095882
4;810;25;0,011;2,70436386
4;810;25;0,008;1,96681008
4;810;25;0,006;1,47510756
4;810;25;0,006;1,47510756
4;810;25;0,007;1,72095882
4;810;25;0,007;1,72095882
4;810;25;0,01;2,4585126
4;810;25;0,006;1,47510756
4;810;25;0,006;1,47510756
4;810;25;0,008;1,96681008
4;810;25;0,014;3,44191764
4;810;25;0,01;2,4585126
4;810;25;0,009;2,21266134
4;810;25;0,006;1,47510756
4;810;25;0,008;1,96681008
4;810;25;0,009;2,21266134
4;810;25;0,011;2,70436386
4;810;25;0,008;1,96681008
4;810;25;0,01;2,4585126
4;810;25;0,009;2,21266134
4;810;25;0,01;2,4585126
4;810;25;0,008;1,96681008
5;0;0;0,079;63,79542396
5;0;0;0,101;81,56123822
5;0;0;0,096;77,52355316
5;0;0;0,131;105,7873486
5;0;0;0,132;106,5948856
5;0;0;0,134;108,2099596
5;0;0;0,119;96,09690444
5;0;0;0,125;100,9421265
5;0;0;0,171;138,0888291
5;0;0;0,127;102,5572005
5;0;0;0,125;100,9421265
5;0;0;0,1;80,75370121
5;0;0;0,155;125,1682369
5;0;0;0,146;117,9004038
5;0;0;0,139;112,2476447
5;0;0;0,132;106,5948856
5;0;0;0,125;100,9421265
5;0;0;0,113;91,25168237
5;0;0;0,131;105,7873486
5;0;0;0,108;87,21399731
5;0;0;0,114;92,05921938
5;0;0;0,126;101,7496635
5;0;0;0,117;94,48183042
5;0;0;0,126;101,7496635
5;8,1;0,25;0,109;88,02153432
5;8,1;0,25;0,146;117,9004038
5;8,1;0,25;0,179;144,5491252
5;8,1;0,25;0,234;188,9636608
5;8,1;0,25;0,13;104,9798116
5;8,1;0,25;0,143;115,4777927
5;8,1;0,25;0,127;102,5572005
5;8,1;0,25;0,108;87,21399731
5;8,1;0,25;0,119;96,09690444
5;8,1;0,25;0,26;209,9596231
5;8,1;0,25;0,162;130,820996
5;8,1;0,25;0,104;83,98384926
5;8,1;0,25;0,135;109,0174966
5;8,1;0,25;0,158;127,5908479
5;8,1;0,25;0,1;80,75370121
5;8,1;0,25;0,15;121,1305518
5;8,1;0,25;0,138;111,4401077
5;8,1;0,25;0,132;106,5948856
5;8,1;0,25;0,125;100,9421265
5;8,1;0,25;0,115;92,86675639
5;8,1;0,25;0,126;101,7496635
5;8,1;0,25;0,119;96,09690444
5;8,1;0,25;0,103;83,17631225
5;8,1;0,25;0,179;144,5491252
5;16,2;0,5;0,11;88,82907133
5;16,2;0,5;0,102;82,36877524
5;16,2;0,5;0,127;102,5572005
5;16,2;0,5;0,082;66,21803499
5;16,2;0,5;0,105;84,79138627
5;16,2;0,5;0,114;92,05921938
5;16,2;0,5;0,097;78,33109017
5;16,2;0,5;0,087;70,25572005
5;16,2;0,5;0,086;69,44818304
5;16,2;0,5;0,217;175,2355316
5;16,2;0,5;0,137;110,6325707
5;16,2;0,5;0,131;105,7873486
5;16,2;0,5;0,148;119,5154778
5;16,2;0,5;0,116;93,67429341
5;16,2;0,5;0,119;96,09690444
5;16,2;0,5;0,119;96,09690444
5;16,2;0,5;0,112;90,44414536
5;16,2;0,5;0,098;79,13862719
5;16,2;0,5;0,14;113,0551817
5;16,2;0,5;0,108;87,21399731
5;16,2;0,5;0,09;72,67833109
5;16,2;0,5;0,111;89,63660834
5;16,2;0,5;0,094;75,90847914
5;16,2;0,5;0,141;113,8627187
5;40,5;1,25;0,248;200,269179
5;40,5;1,25;0,138;111,4401077
5;40,5;1,25;0,141;113,8627187
5;40,5;1,25;0,105;84,79138627
5;40,5;1,25;0,117;94,48183042
5;40,5;1,25;0,119;96,09690444
5;40,5;1,25;0,104;83,98384926
5;40,5;1,25;0,114;92,05921938
5;40,5;1,25;0,115;92,86675639
5;40,5;1,25;0,206;166,3526245
5;40,5;1,25;0,138;111,4401077
5;40,5;1,25;0,09;72,67833109
5;40,5;1,25;0,141;113,8627187
5;40,5;1,25;0,13;104,9798116
5;40,5;1,25;0,12;96,90444145
5;40,5;1,25;0,137;110,6325707
5;40,5;1,25;0,111;89,63660834
5;40,5;1,25;0,106;85,59892328
5;40,5;1,25;0,141;113,8627187
5;40,5;1,25;0,122;98,51951548
5;40,5;1,25;0,104;83,98384926
5;40,5;1,25;0,112;90,44414536
5;40,5;1,25;0,144;116,2853297
5;40,5;1,25;0,184;148,5868102
5;81;2,5;0,193;155,8546433
5;81;2,5;0,112;90,44414536
5;81;2,5;0,11;88,82907133
5;81;2,5;0,068;54,91251682
5;81;2,5;0,077;62,18034993
5;81;2,5;0,084;67,83310902
5;81;2,5;0,077;62,18034993
5;81;2,5;0,064;51,68236878
5;81;2,5;0,073;58,95020188
5;81;2,5;0,192;155,0471063
5;81;2,5;0,121;97,71197847
5;81;2,5;0,087;70,25572005
5;81;2,5;0,096;77,52355316
5;81;2,5;0,099;79,9461642
5;81;2,5;0,079;63,79542396
5;81;2,5;0,087;70,25572005
5;81;2,5;0,079;63,79542396
5;81;2,5;0,089;71,87079408
5;81;2,5;0,1;80,75370121
5;81;2,5;0,09;72,67833109
5;81;2,5;0,08;64,60296097
5;81;2,5;0,101;81,56123822
5;81;2,5;0,084;67,83310902
5;81;2,5;0,142;114,6702557
5;162;5;0,044;35,53162853
5;162;5;0,026;20,99596231
5;162;5;0,03;24,22611036
5;162;5;0,031;25,03364738
5;162;5;0,029;23,41857335
5;162;5;0,024;19,38088829
5;162;5;0,03;24,22611036
5;162;5;0,024;19,38088829
5;162;5;0,022;17,76581427
5;162;5;0,041;33,1090175
5;162;5;0,036;29,07133244
5;162;5;0,029;23,41857335
5;162;5;0,121;97,71197847
5;162;5;0,039;31,49394347
5;162;5;0,027;21,80349933
5;162;5;0,036;29,07133244
5;162;5;0,029;23,41857335
5;162;5;0,023;18,57335128
5;162;5;0,03;24,22611036
5;162;5;0,025;20,1884253
5;162;5;0,02;16,15074024
5;162;5;0,02;16,15074024
5;162;5;0,031;25,03364738
5;162;5;0,027;21,80349933
5;405;12,5;0,022;17,76581427
5;405;12,5;0,032;25,84118439
5;405;12,5;0,026;20,99596231
5;405;12,5;0,034;27,45625841
5;405;12,5;0,033;26,6487214
5;405;12,5;0,025;20,1884253
5;405;12,5;0,021;16,95827725
5;405;12,5;0,03;24,22611036
5;405;12,5;0,025;20,1884253
5;405;12,5;0,017;13,72812921
5;405;12,5;0,034;27,45625841
5;405;12,5;0,028;22,61103634
5;405;12,5;0,022;17,76581427
5;405;12,5;0,026;20,99596231
5;405;12,5;0,023;18,57335128
5;405;12,5;0,038;30,68640646
5;405;12,5;0,022;17,76581427
5;405;12,5;0,027;21,80349933
5;405;12,5;0,018;14,53566622
5;405;12,5;0,026;20,99596231
5;405;12,5;0,023;18,57335128
5;405;12,5;0,018;14,53566622
5;405;12,5;0,033;26,6487214
5;405;12,5;0,025;20,1884253
5;810;25;0,029;23,41857335
5;810;25;0,032;25,84118439
5;810;25;0,027;21,80349933
5;810;25;0,034;27,45625841
5;810;25;0,035;28,26379542
5;810;25;0,024;19,38088829
5;810;25;0,03;24,22611036
5;810;25;0,027;21,80349933
5;810;25;0,031;25,03364738
5;810;25;0,027;21,80349933
5;810;25;0,033;26,6487214
5;810;25;0,003;2,422611036
5;810;25;0,03;24,22611036
5;810;25;0,031;25,03364738
5;810;25;0,032;25,84118439
5;810;25;0,032;25,84118439
5;810;25;0,027;21,80349933
5;810;25;0,029;23,41857335
5;810;25;0,028;22,61103634
5;810;25;0,028;22,61103634
5;810;25;0,027;21,80349933
5;810;25;0,028;22,61103634
5;810;25;0,027;21,80349933
5;810;25;0,028;22,61103634
