DIA;CONC;MTT;%MTT
2;0;0,264;92,63157895
2;0;0,241;84,56140351
2;2;0,281;98,59649123
2;2;0,298;104,5614035
2;2;0,288;101,0526316
2;2;0,278;97,54385965
2;2;0,256;89,8245614
2;2;0,27;94,73684211
2;2;0,281;98,59649123
2;2;0,27;94,73684211
2;2;0,268;94,03508772
2;2;0,266;93,33333333
2;2;0,265;92,98245614
2;2;0,282;98,94736842
2;2;0,27;94,73684211
2;2;0,288;101,0526316
2;2;0,253;88,77192982
2;2;0,288;101,0526316
2;2;0,282;98,94736842
2;2;0,272;95,43859649
2;2;0,269;94,38596491
2;2;0,288;101,0526316
2;2;0,287;100,7017544
2;2;0,273;95,78947368
2;2;0,253;88,77192982
2;2;0,281;98,59649123
2;5;0,306;107,3684211
2;5;0,283;99,29824561
2;5;0,268;94,03508772
2;5;0,263;92,28070175
2;5;0,265;92,98245614
2;5;0,27;94,73684211
2;5;0,281;98,59649123
2;5;0,26;91,22807018
2;5;0,254;89,12280702
2;5;0,281;98,59649123
2;5;0,262;91,92982456
2;5;0,227;79,64912281
2;5;0,307;107,7192982
2;5;0,307;107,7192982
2;5;0,293;102,8070175
2;5;0,304;106,6666667
2;5;0,294;103,1578947
2;5;0,283;99,29824561
2;5;0,241;84,56140351
2;5;0,286;100,3508772
2;5;0,239;83,85964912
2;5;0,263;92,28070175
2;5;0,233;81,75438596
2;5;0,232;81,40350877
2;10;0,301;105,6140351
2;10;0,277;97,19298246
2;10;0,242;84,9122807
2;10;0,268;94,03508772
2;10;0,249;87,36842105
2;10;0,252;88,42105263
2;10;0,269;94,38596491
2;10;0,251;88,07017544
2;10;0,239;83,85964912
2;10;0,272;95,43859649
2;10;0,256;89,8245614
2;10;0,24;84,21052632
2;10;0,287;100,7017544
2;10;0,276;96,84210526
2;10;0,248;87,01754386
2;10;0,298;104,5614035
2;10;0,222;77,89473684
2;10;0,262;91,92982456
2;10;0,253;88,77192982
2;10;0,259;90,87719298
2;10;0,257;90,1754386
2;10;0,254;89,12280702
2;10;0,274;96,14035088
2;10;0,227;79,64912281
2;100;0,013;4,561403509
2;100;0,013;4,561403509
2;100;0,012;4,210526316
2;100;0,014;4,912280702
2;100;0,014;4,912280702
2;100;0,014;4,912280702
2;100;0,015;5,263157895
2;100;0,015;5,263157895
2;100;0,01;3,50877193
2;100;0,017;5,964912281
2;100;0,018;6,315789474
2;100;0,015;5,263157895
2;100;0,033;11,57894737
2;100;0,021;7,368421053
2;100;0,015;5,263157895
2;100;0,022;7,719298246
2;100;0,008;2,807017544
2;100;0,01;3,50877193
2;100;0,008;2,807017544
2;100;0,01;3,50877193
2;100;0;0
2;100;0;0
2;100;0;0
2;100;0;0
2;500;0,014;4,912280702
2;500;0,012;4,210526316
2;500;0,016;5,614035088
2;500;0,014;4,912280702
2;500;0,006;2,105263158
2;500;0,009;3,157894737
